iter	RMSE
0	0.810934049
1	0.7657956885
2	0.7261674249
3	0.6896447795
4	0.6547009012
5	0.6237789271
6	0.5957800156
7	0.5708402061
8	0.5465788687
9	0.5267202582
10	0.5089885303
11	0.490997938
12	0.4732346023
13	0.4580484658
14	0.4436489629
15	0.4299890989
16	0.418167722
17	0.4081820959
18	0.3980891666
19	0.3903499506
20	0.3821200082
21	0.3749235092
22	0.3686784222
23	0.3638141952
24	0.357784969
25	0.3529099948
26	0.3489218651
27	0.3438285122
28	0.3404928711
29	0.3370424599
30	0.3337737859
31	0.3310579641
32	0.3282926158
33	0.3252224346
34	0.32283918
35	0.3214584556
36	0.3183486538
37	0.3156878162
38	0.3139658222
39	0.3120347361
40	0.3111294923
41	0.3093194908
42	0.3074617812
43	0.306005812
44	0.3048404267
45	0.3038531732
46	0.3024193927
47	0.3013642352
48	0.3005693216
49	0.2995281872
50	0.2987584787
51	0.297777003
52	0.2970251442
53	0.2963099857
54	0.2956162398
55	0.294873242
56	0.2934485802
57	0.2925769531
58	0.2918904626
59	0.291245196
60	0.2901618423
61	0.2893209287
62	0.2884832396
63	0.2878807045
64	0.2874364311
65	0.2868322328
66	0.2863868517
67	0.2860706102
68	0.2853423777
69	0.2845578603
70	0.2838948312
71	0.2834241598
72	0.2829501849
73	0.2824849265
74	0.2818043478
75	0.2814782517
76	0.2809744684
77	0.2805216223
78	0.2800929319
79	0.279662083
80	0.2784994574
81	0.2775105058
82	0.2768944792
83	0.2766372016
84	0.276607244
85	0.2756429671
86	0.2748876629
87	0.2747146384
88	0.2739679533
89	0.2732629191
90	0.2727192553
91	0.2719519417
92	0.2717786452
93	0.2710581974
94	0.2701552192
95	0.2696633922
96	0.2691921841
97	0.2687300417
98	0.2677372274
99	0.2675308523
100	0.2673843547
101	0.2667906981
102	0.2660947548
103	0.2655149805
104	0.2652011444
105	0.2648012624
106	0.2644835962
107	0.2642258289
108	0.2633419111
109	0.2630260348
110	0.2628300081
111	0.2623218924
112	0.262153703
113	0.2615562242
114	0.261132618
115	0.2609546233
116	0.2603834118
117	0.2601821942
118	0.259546932
119	0.2590438685
120	0.2585193578
121	0.2584315112
122	0.2581249702
123	0.2578202901
124	0.257431351
125	0.2566785094
126	0.2562735691
127	0.2562573776
128	0.2560312978
129	0.2557849243
130	0.2557523106
131	0.2554444236
132	0.2553874248
133	0.2544085432
134	0.2543912492
135	0.2543806482
136	0.2536628992
137	0.2533275095
138	0.2530079264
139	0.2523642331
140	0.252186491
141	0.2521681026
142	0.2520140117
143	0.2519973681
144	0.2518858018
145	0.2517383506
146	0.2516475717
147	0.2513482625
148	0.2513166159
149	0.2509804133
150	0.2506810102
151	0.2503847084
152	0.2496144097
153	0.2492492747
154	0.2492059197
155	0.2489595229
156	0.248834576
157	0.2488219596
158	0.2485999031
159	0.2482766967
160	0.2482529951
161	0.2480471095
162	0.2478075823
163	0.2477921592
164	0.2476283219
165	0.2473606671
166	0.247318337
167	0.2472595309
168	0.2469940876
169	0.2469799248
170	0.2466086073
171	0.2465267551
172	0.2464828891
173	0.245910418
174	0.2458895182
175	0.2458593162
176	0.2458417293
177	0.2454477222
178	0.2451069526
179	0.2447636915
180	0.244247168
181	0.2437287372
182	0.2436468468
183	0.2430931092
184	0.2430115242
185	0.2428833833
186	0.24284922
187	0.2425340446
188	0.2424199114
189	0.2420271772
190	0.2419896879
191	0.2415701479
192	0.241115407
193	0.2405260739
194	0.2401087264
195	0.2399117763
196	0.2396772369
197	0.2393904134
198	0.2390627755
199	0.2386931352
200	0.2381719609
201	0.2378686873
202	0.2376202342
203	0.2375971262
204	0.2373339444
205	0.2368586004
206	0.236849515
207	0.2366556144
208	0.2366422779
209	0.23659303
210	0.2363762843
211	0.2363648749
212	0.2359767514
213	0.2356772709
214	0.2354712113
215	0.2352211154
216	0.2352046173
217	0.2351583286
218	0.2351489228
219	0.2351436564
220	0.2351121869
221	0.2348419842
222	0.2346050212
223	0.2339855946
224	0.2339559978
225	0.233616971
226	0.2334286299
