iter	Passed	Remaining
0	63	253496
1	73	146372
2	85	113837
3	95	95051
4	105	83961
5	114	76272
6	124	70794
7	133	66793
8	143	63570
9	153	61430
10	165	60119
11	177	59086
12	187	57545
13	197	56267
14	207	55016
15	215	53752
16	224	52654
17	233	51590
18	241	50561
19	251	50021
20	259	49241
21	269	48758
22	277	48047
23	286	47420
24	295	46913
25	307	46978
26	315	46456
27	324	46098
28	336	46061
29	347	45920
30	354	45447
31	366	45408
32	374	45030
33	387	45156
34	396	44956
35	405	44666
36	418	44801
37	429	44746
38	437	44462
39	449	44462
40	457	44135
41	467	44039
42	478	44019
43	487	43832
44	497	43732
45	510	43906
46	522	43912
47	532	43826
48	543	43819
49	555	43913
50	568	44001
51	579	44027
52	590	43955
53	602	44026
54	614	44093
55	625	44059
56	636	44048
57	651	44292
58	662	44246
59	675	44329
60	684	44215
61	697	44323
62	707	44224
63	718	44162
64	729	44151
65	741	44181
66	753	44205
67	765	44241
68	775	44185
69	785	44090
70	795	44047
71	804	43911
72	815	43876
73	825	43818
74	836	43750
75	846	43724
76	856	43647
77	866	43550
78	875	43434
79	886	43461
80	898	43477
81	909	43461
82	920	43434
83	930	43386
84	936	43114
85	946	43076
86	957	43065
87	968	43070
88	979	43025
89	990	43034
90	1000	42998
91	1013	43031
92	1023	42997
93	1036	43059
94	1047	43047
95	1058	43055
96	1068	43002
97	1079	42981
98	1090	42958
99	1100	42910
100	1110	42886
101	1121	42848
102	1135	42975
103	1148	43020
104	1160	43050
105	1172	43074
106	1184	43097
107	1193	43019
108	1207	43098
109	1218	43092
110	1230	43121
111	1241	43112
112	1253	43130
113	1264	43120
114	1275	43104
115	1284	43013
116	1296	43017
117	1308	43032
118	1318	43000
119	1328	42944
120	1340	42979
121	1350	42928
122	1361	42917
123	1371	42883
124	1380	42784
125	1390	42739
126	1401	42735
127	1407	42566
128	1417	42544
129	1427	42505
130	1438	42499
131	1447	42420
132	1458	42397
133	1469	42397
134	1477	42298
135	1487	42259
136	1499	42272
137	1509	42244
138	1518	42191
139	1527	42124
140	1539	42137
141	1548	42057
142	1560	42078
143	1569	42033
144	1578	41974
145	1590	41985
146	1602	42000
147	1612	41961
148	1620	41886
149	1633	41934
150	1645	41935
151	1655	41904
152	1665	41874
153	1676	41860
154	1686	41841
155	1697	41835
156	1707	41789
157	1716	41734
158	1728	41752
159	1740	41774
160	1749	41715
161	1763	41777
162	1773	41759
163	1782	41692
164	1793	41678
165	1803	41660
166	1811	41583
167	1821	41548
168	1830	41497
169	1839	41435
170	1848	41391
171	1857	41338
172	1866	41289
173	1876	41260
174	1884	41191
175	1893	41138
176	1901	41064
177	1913	41081
178	1924	41081
179	1935	41083
180	1947	41090
181	1957	41057
182	1966	41010
183	1975	40967
184	1983	40894
185	1993	40876
186	2002	40839
